metric_name,entity_name,currency,date,item_segment,category_name,value,quarter_start,quarter_end
Gross Merchandise Volume - Total,eBay,USD,2021-09-04,United States,Tickets & Travel,274520.414789,2021-07-01,2021-09-30
Gross Merchandise Volume - Total,eBay,USD,2021-08-28,International,"Books, Movies & Music",2283755.383980,2021-07-01,2021-09-30
Gross Merchandise Volume - Total,eBay,USD,2021-07-27,United States,Health & Beauty,3802839.348432,2021-07-01,2021-09-30
Gross Merchandise Volume - Total,eBay,USD,2021-07-06,International,Home & Garden,26660044.378421,2021-07-01,2021-09-30
Gross Merchandise Volume - Total,eBay,USD,2021-05-31,United States,Sports,15316958.511473,2021-04-01,2021-06-30
Gross Merchandise Volume - Total,eBay,USD,2021-01-25,International,Toys & Hobbies,9154323.270825,2021-01-01,2021-03-31
Gross Merchandise Volume - Total,eBay,USD,2021-01-09,International,Photo,2344517.216845,2021-01-01,2021-03-31
Gross Merchandise Volume - Total,eBay,USD,2020-12-29,International,Health & Beauty,5182159.620018,2020-10-01,2020-12-31
Gross Merchandise Volume - Total,eBay,USD,2020-12-27,International,"Business, Office & Industrial",6446246.335124,2020-10-01,2020-12-31
Gross Merchandise Volume - Total,eBay,USD,2020-12-21,United States,Parts & Accessories,16185476.434241,2020-10-01,2020-12-31
Gross Merchandise Volume - Total,eBay,USD,2020-11-24,International,Musical Instruments,2064688.412874,2020-10-01,2020-12-31
Gross Merchandise Volume - Total,eBay,USD,2020-11-19,International,Clothing & Accessories,17691917.405858,2020-10-01,2020-12-31
Gross Merchandise Volume - Total,eBay,USD,2020-11-12,United States,Toys & Hobbies,7138533.340462,2020-10-01,2020-12-31
Gross Merchandise Volume - Total,eBay,USD,2020-10-25,United States,Clothing & Accessories,11564495.122458,2020-10-01,2020-12-31
Gross Merchandise Volume - Total,eBay,USD,2020-10-21,International,Musical Instruments,1619530.204188,2020-10-01,2020-12-31
Gross Merchandise Volume - Total,eBay,USD,2020-09-29,International,Sports,8225025.289172,2020-07-01,2020-09-30
Gross Merchandise Volume - Total,eBay,USD,2020-08-18,United States,Health & Beauty,3978313.613335,2020-07-01,2020-09-30
Gross Merchandise Volume - Total,eBay,USD,2020-08-07,International,Clothing & Accessories,13553966.789446,2020-07-01,2020-09-30
Gross Merchandise Volume - Total,eBay,USD,2020-07-07,International,Parts & Accessories,25307501.477525,2020-07-01,2020-09-30
Gross Merchandise Volume - Total,eBay,USD,2020-06-29,International,Parts & Accessories,26669550.178570,2020-04-01,2020-06-30
Gross Merchandise Volume - Total,eBay,USD,2020-06-14,United States,Cell Phones & Telecom,4311984.266361,2020-04-01,2020-06-30
Gross Merchandise Volume - Total,eBay,USD,2020-06-10,United States,"Business, Office & Industrial",13539136.930376,2020-04-01,2020-06-30
Gross Merchandise Volume - Total,eBay,USD,2020-04-28,United States,Remaining Categories,533710.546848,2020-04-01,2020-06-30
Gross Merchandise Volume - Total,eBay,USD,2020-04-22,United States,Remaining Categories,600862.083855,2020-04-01,2020-06-30
Gross Merchandise Volume - Total,eBay,USD,2020-01-01,International,Parts & Accessories,12573713.849455,2020-01-01,2020-03-31
Gross Merchandise Volume - Total,eBay,USD,2021-11-15,International,Clothing & Accessories,17680762.468057,2021-10-01,2021-12-31
Gross Merchandise Volume - Total,eBay,USD,2021-11-11,International,Tickets & Travel,136578.402152,2021-10-01,2021-12-31
